path	block_type	mask_type	reference_block	link_status	runtime_token
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Eastsys1_load	Outport			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Eastsys2_load	Outport			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Northsys1_load	Outport			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Northsys2_load	Outport			none	
IEEE39bus/SM_measurement/Constant1	Constant			none	
IEEE39bus/SM_measurement/Constant2	Constant			none	
IEEE39bus/SM_measurement/Demux1	Demux			none	
IEEE39bus/SM_measurement/Demux2	Demux			none	
IEEE39bus/SM_measurement/Demux3	Demux			none	
IEEE39bus/SM_measurement/Demux4	Demux			none	
IEEE39bus/SM_measurement/Demux5	Demux			none	
IEEE39bus/SM_measurement/Demux6	Demux			none	
IEEE39bus/SM_measurement/Demux7	Demux			none	
IEEE39bus/SM_measurement/Demux8	Demux			none	
IEEE39bus/SM_measurement/Demux9	Demux			none	
IEEE39bus/SM_measurement/From	From			none	
IEEE39bus/SM_measurement/From1	From			none	
IEEE39bus/SM_measurement/From10	From			none	
IEEE39bus/SM_measurement/From11	From			none	
IEEE39bus/SM_measurement/From12	From			none	
IEEE39bus/SM_measurement/From13	From			none	
IEEE39bus/SM_measurement/From14	From			none	
IEEE39bus/SM_measurement/From15	From			none	
IEEE39bus/SM_measurement/From16	From			none	
IEEE39bus/SM_measurement/From17	From			none	
IEEE39bus/SM_measurement/From18	From			none	
IEEE39bus/SM_measurement/From2	From			none	
IEEE39bus/SM_measurement/From3	From			none	
IEEE39bus/SM_measurement/From4	From			none	
IEEE39bus/SM_measurement/From5	From			none	
IEEE39bus/SM_measurement/From6	From			none	
IEEE39bus/SM_measurement/From7	From			none	
IEEE39bus/SM_measurement/From8	From			none	
IEEE39bus/SM_measurement/From9	From			none	
IEEE39bus/SM_measurement/GT control	SubSystem			none	
IEEE39bus/SM_measurement/GT control/Bus Creator	BusCreator			none	
IEEE39bus/SM_measurement/GT control/Constant1	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant10	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant12	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant14	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant2	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant3	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant4	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant5	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant6	Constant			none	
IEEE39bus/SM_measurement/GT control/Constant8	Constant			none	
IEEE39bus/SM_measurement/GT control/Mux1	Mux			none	
IEEE39bus/SM_measurement/GT control/Mux2	Mux			none	
IEEE39bus/SM_measurement/GT control/Mux6	Mux			none	
IEEE39bus/SM_measurement/GT control/GT_CBs_ctrl	Outport			none	
IEEE39bus/SM_measurement/GT1_CB	ManualSwitch			none	
IEEE39bus/SM_measurement/Generator 1 bus voltage4	From			none	
IEEE39bus/SM_measurement/Generator 1 bus voltage5	From			none	
IEEE39bus/SM_measurement/Generator 1 bus voltage6	From			none	
IEEE39bus/SM_measurement/Goto	Goto			none	
IEEE39bus/SM_measurement/Goto1	Goto			none	
IEEE39bus/SM_measurement/Goto10	Goto			none	
IEEE39bus/SM_measurement/Goto11	Goto			none	
IEEE39bus/SM_measurement/Goto12	Goto			none	
IEEE39bus/SM_measurement/Goto13	Goto			none	
IEEE39bus/SM_measurement/Goto14	Goto			none	
IEEE39bus/SM_measurement/Goto15	Goto			none	
IEEE39bus/SM_measurement/Goto16	Goto			none	
IEEE39bus/SM_measurement/Goto17	Goto			none	
IEEE39bus/SM_measurement/Goto18	Goto			none	
IEEE39bus/SM_measurement/Goto19	Goto			none	
IEEE39bus/SM_measurement/Goto2	Goto			none	
IEEE39bus/SM_measurement/Goto20	Goto			none	
IEEE39bus/SM_measurement/Goto21	Goto			none	
IEEE39bus/SM_measurement/Goto22	Goto			none	
IEEE39bus/SM_measurement/Goto23	Goto			none	
IEEE39bus/SM_measurement/Goto24	Goto			none	
IEEE39bus/SM_measurement/Goto25	Goto			none	
IEEE39bus/SM_measurement/Goto26	Goto			none	
IEEE39bus/SM_measurement/Goto27	Goto			none	
IEEE39bus/SM_measurement/Goto28	Goto			none	
IEEE39bus/SM_measurement/Goto29	Goto			none	
IEEE39bus/SM_measurement/Goto3	Goto			none	
IEEE39bus/SM_measurement/Goto4	Goto			none	
IEEE39bus/SM_measurement/Goto5	Goto			none	
IEEE39bus/SM_measurement/Goto6	Goto			none	
IEEE39bus/SM_measurement/Goto7	Goto			none	
IEEE39bus/SM_measurement/Goto8	Goto			none	
IEEE39bus/SM_measurement/Goto9	Goto			none	
IEEE39bus/SM_measurement/Lines control	SubSystem			none	
IEEE39bus/SM_measurement/Lines control/Bus Creator	BusCreator			none	
IEEE39bus/SM_measurement/Lines control/Constant	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant1	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant10	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant12	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant14	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant16	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant18	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant2	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant20	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant22	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant24	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant26	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant28	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant30	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant31	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant34	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant36	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant38	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant4	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant40	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant42	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant44	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant46	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant50	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant52	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant54	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant56	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant58	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant6	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant60	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant62	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant63	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant66	Constant			none	
IEEE39bus/SM_measurement/Lines control/Constant8	Constant			none	
IEEE39bus/SM_measurement/Lines control/Mux1	Mux			none	
IEEE39bus/SM_measurement/Lines control/Mux2	Mux			none	
IEEE39bus/SM_measurement/Lines control/Mux3	Mux			none	
IEEE39bus/SM_measurement/Lines control/Mux4	Mux			none	
IEEE39bus/SM_measurement/Lines control/Lines_CBs_ctrl	Outport			none	
